myFinalAssignmentAnnoatatedWithData1	myFinalAssignmentAnnoatatedWithData2	myFinalAssignmentAnnoatatedWithData3	myFinalAssignmentAnnoatatedWithData4	myFinalAssignmentAnnoatatedWithData5	myFinalAssignmentAnnoatatedWithData6	myFinalAssignmentAnnoatatedWithData7	myFinalAssignmentAnnoatatedWithData8	myFinalAssignmentAnnoatatedWithData9	myFinalAssignmentAnnoatatedWithData10	myFinalAssignmentAnnoatatedWithData11	myFinalAssignmentAnnoatatedWithData12	myFinalAssignmentAnnoatatedWithData13	myFinalAssignmentAnnoatatedWithData14	myFinalAssignmentAnnoatatedWithData15	myFinalAssignmentAnnoatatedWithData16	myFinalAssignmentAnnoatatedWithData17	myFinalAssignmentAnnoatatedWithData18	myFinalAssignmentAnnoatatedWithData19	myFinalAssignmentAnnoatatedWithData20	myFinalAssignmentAnnoatatedWithData21	myFinalAssignmentAnnoatatedWithData22	myFinalAssignmentAnnoatatedWithData23	myFinalAssignmentAnnoatatedWithData24	myFinalAssignmentAnnoatatedWithData25	myFinalAssignmentAnnoatatedWithData26	myFinalAssignmentAnnoatatedWithData27	myFinalAssignmentAnnoatatedWithData28	myFinalAssignmentAnnoatatedWithData29	myFinalAssignmentAnnoatatedWithData30	myFinalAssignmentAnnoatatedWithData31	myFinalAssignmentAnnoatatedWithData32	myFinalAssignmentAnnoatatedWithData33	myFinalAssignmentAnnoatatedWithData34	myFinalAssignmentAnnoatatedWithData35	myFinalAssignmentAnnoatatedWithData36	myFinalAssignmentAnnoatatedWithData37	myFinalAssignmentAnnoatatedWithData38	myFinalAssignmentAnnoatatedWithData39	myFinalAssignmentAnnoatatedWithData40	myFinalAssignmentAnnoatatedWithData41	myFinalAssignmentAnnoatatedWithData42	myFinalAssignmentAnnoatatedWithData43	myFinalAssignmentAnnoatatedWithData44	myFinalAssignmentAnnoatatedWithData45	myFinalAssignmentAnnoatatedWithData46	myFinalAssignmentAnnoatatedWithData47	myFinalAssignmentAnnoatatedWithData48	myFinalAssignmentAnnoatatedWithData49	myFinalAssignmentAnnoatatedWithData50	myFinalAssignmentAnnoatatedWithData51	myFinalAssignmentAnnoatatedWithData52	myFinalAssignmentAnnoatatedWithData53	myFinalAssignmentAnnoatatedWithData54	myFinalAssignmentAnnoatatedWithData55	myFinalAssignmentAnnoatatedWithData56	myFinalAssignmentAnnoatatedWithData57	myFinalAssignmentAnnoatatedWithData58	myFinalAssignmentAnnoatatedWithData59	myFinalAssignmentAnnoatatedWithData60	myFinalAssignmentAnnoatatedWithData61	myFinalAssignmentAnnoatatedWithData62	myFinalAssignmentAnnoatatedWithData63	myFinalAssignmentAnnoatatedWithData64	myFinalAssignmentAnnoatatedWithData65	myFinalAssignmentAnnoatatedWithData66	myFinalAssignmentAnnoatatedWithData67	myFinalAssignmentAnnoatatedWithData68	myFinalAssignmentAnnoatatedWithData69	myFinalAssignmentAnnoatatedWithData70	myFinalAssignmentAnnoatatedWithData71	myFinalAssignmentAnnoatatedWithData72	myFinalAssignmentAnnoatatedWithData73	myFinalAssignmentAnnoatatedWithData74	myFinalAssignmentAnnoatatedWithData75	myFinalAssignmentAnnoatatedWithData76	myFinalAssignmentAnnoatatedWithData77	myFinalAssignmentAnnoatatedWithData78	myFinalAssignmentAnnoatatedWithData79	myFinalAssignmentAnnoatatedWithData80	myFinalAssignmentAnnoatatedWithData81	myFinalAssignmentAnnoatatedWithData82	myFinalAssignmentAnnoatatedWithData83	myFinalAssignmentAnnoatatedWithData84	myFinalAssignmentAnnoatatedWithData85	myFinalAssignmentAnnoatatedWithData86	myFinalAssignmentAnnoatatedWithData87	myFinalAssignmentAnnoatatedWithData88	myFinalAssignmentAnnoatatedWithData89	myFinalAssignmentAnnoatatedWithData90	myFinalAssignmentAnnoatatedWithData91	myFinalAssignmentAnnoatatedWithData92	myFinalAssignmentAnnoatatedWithData93	myFinalAssignmentAnnoatatedWithData94	myFinalAssignmentAnnoatatedWithData95	myFinalAssignmentAnnoatatedWithData96	myFinalAssignmentAnnoatatedWithData97	myFinalAssignmentAnnoatatedWithData98	myFinalAssignmentAnnoatatedWithData99	myFinalAssignmentAnnoatatedWithData100	myFinalAssignmentAnnoatatedWithData101	myFinalAssignmentAnnoatatedWithData102	myFinalAssignmentAnnoatatedWithData103	myFinalAssignmentAnnoatatedWithData104	myFinalAssignmentAnnoatatedWithData105	myFinalAssignmentAnnoatatedWithData106	myFinalAssignmentAnnoatatedWithData107	myFinalAssignmentAnnoatatedWithData108	myFinalAssignmentAnnoatatedWithData109	myFinalAssignmentAnnoatatedWithData110	myFinalAssignmentAnnoatatedWithData111	myFinalAssignmentAnnoatatedWithData112	myFinalAssignmentAnnoatatedWithData113	myFinalAssignmentAnnoatatedWithData114	myFinalAssignmentAnnoatatedWithData115	myFinalAssignmentAnnoatatedWithData116	myFinalAssignmentAnnoatatedWithData117	myFinalAssignmentAnnoatatedWithData118	myFinalAssignmentAnnoatatedWithData119	myFinalAssignmentAnnoatatedWithData120	myFinalAssignmentAnnoatatedWithData121	myFinalAssignmentAnnoatatedWithData122	myFinalAssignmentAnnoatatedWithData123	myFinalAssignmentAnnoatatedWithData124	myFinalAssignmentAnnoatatedWithData125	myFinalAssignmentAnnoatatedWithData126	myFinalAssignmentAnnoatatedWithData127	myFinalAssignmentAnnoatatedWithData128	myFinalAssignmentAnnoatatedWithData129	myFinalAssignmentAnnoatatedWithData130	myFinalAssignmentAnnoatatedWithData131	myFinalAssignmentAnnoatatedWithData132	myFinalAssignmentAnnoatatedWithData133	myFinalAssignmentAnnoatatedWithData134	myFinalAssignmentAnnoatatedWithData135	myFinalAssignmentAnnoatatedWithData136	myFinalAssignmentAnnoatatedWithData137	myFinalAssignmentAnnoatatedWithData138	myFinalAssignmentAnnoatatedWithData139	myFinalAssignmentAnnoatatedWithData140	myFinalAssignmentAnnoatatedWithData141	myFinalAssignmentAnnoatatedWithData142
Simulated_feature_group_C_20	4	1	0	0	1	0	2	18	0	0	1	3	0	0	4	2	16	2	2	12	3	13	0	0	3	0	2	0	5	3	19	21	1	0	0	6	3	16	37	23	6	29	95	13	44	16	9	3	80	29	3	62	107	10	56	85	36	208	29	1	5	34	4	31	17	19	73	4	9	0	6	4066	692	1	4198	1501	58	1141	1611	1190	4174	203	2429	256	13	79	260	0	1052	33	2266	7966	367	5239	88	1495	29	79	607	632	4134	3356	840	53	625	0	181	275	171	67	56	646	29	20	118	193	77	27	101	2	5	31	9	15	523	39	9	615	354	34	104	423	82	38	59	322	196	484	207	100	190
Simulated_feature_group_C_39	4	10	23	8	3	9	23	8	6	31	31	42	1	7	9	12	13	14	48	6	27	16	14	33	8	9	2	28	21	14	28	5	46	25	8	3	22	136	45	26	28	102	158	2	39	3	336	8	105	114	46	10	62	12	76	140	129	87	20	137	45	232	199	107	22	1	16	40	218	23	84	20671	15826	9968	24819	6004	392	14236	2087	4771	8760	3208	12270	15388	2110	959	3401	548	174	1186	6102	3462	4880	2288	2023	740	24848	2382	16468	3606	12261	2696	18788	196	10045	3413	452	632	412	329	553	195	205	166	895	26	357	398	6	65	761	738	205	173	1050	133	1253	122	175	285	819	765	227	198	2231	126	75	1983	848	177	523
Simulated_feature_group_C_48	1	117	77	64	215	100	87	98	102	108	107	193	165	133	122	122	127	163	103	195	123	120	81	172	124	160	115	129	92	123	162	81	81	212	107	127	393	802	376	683	804	702	1153	270	556	385	531	514	651	267	689	627	564	548	367	530	567	282	520	281	429	469	731	554	618	874	599	439	1006	548	1073	51155	52260	55243	55174	47204	56875	25318	42030	52025	37601	29284	55089	27404	62985	68756	46420	73926	28249	41537	44592	66806	54362	45000	58688	29108	56944	30236	65718	27239	60500	21347	57842	45894	46346	31992	1869	3138	2526	3530	4472	3050	2237	2483	2108	4366	4373	5037	3338	3611	2848	4626	2159	2193	4773	3627	2634	2151	4423	3162	5224	2060	4780	1627	4844	4006	2965	2760	3910	6140	4977
Simulated_feature_group_C_77	4	12	11	0	0	5	14	7	4	26	4	1	0	10	1	4	7	2	9	2	3	0	1	6	11	4	9	18	2	1	0	18	9	0	24	0	5	48	26	58	40	111	24	9	43	17	3	57	2	26	26	35	3	92	9	326	128	11	94	13	57	19	4	2	1	7	17	9	3	17	33	1853	3438	1234	2022	4689	4321	3642	1832	3662	5369	2017	480	2338	2628	20	251	1482	1355	515	4000	2099	3502	101	223	631	4503	632	4155	3033	2728	2712	4407	14914	1161	13928	4	48	395	334	157	259	9	529	317	45	13	400	213	52	154	85	400	140	42	10	445	122	114	283	37	886	55	0	96	8	111	765	153	74	176
Simulated_feature_group_C_84	4	3	2	88	10	22	4	37	10	22	0	12	24	0	10	0	1	9	7	24	13	2	0	10	33	64	56	36	2	4	16	9	4	32	45	1	112	44	48	0	56	121	515	168	110	105	197	112	413	4	0	43	70	11	18	19	0	236	5	260	97	478	8	18	87	133	9	38	63	301	143	1304	2327	323	2492	8324	1640	82	9393	3433	1249	16671	14661	5788	4578	3680	6541	20464	890	11091	2214	108	5023	9216	6608	315	79	8008	17219	6694	5569	10568	40	9648	12631	15114	114	719	139	108	1205	507	1608	141	675	7	1819	22	81	660	129	6	641	205	8	0	34	114	712	636	243	519	41	1032	13	822	263	495	84	656	1077
Simulated_feature_group_C_112	4	2	4	2	5	1	15	5	1	1	12	4	5	3	0	3	1	6	1	2	3	10	5	1	8	9	6	7	0	4	21	8	2	0	14	14	6	1	43	23	9	9	53	48	42	20	36	50	6	27	73	13	2	16	44	18	25	21	1	4	6	72	1	2	22	5	7	43	9	48	39	312	672	1843	1752	3784	5714	4638	294	3032	1911	3355	4133	332	1262	3187	2339	1848	678	1968	821	892	314	108	738	871	225	1312	1256	634	863	504	4660	1193	2761	2338	244	180	46	108	50	123	154	23	87	54	113	53	403	51	72	102	163	42	40	183	37	133	22	46	4	236	54	254	57	132	161	5	64	42	46
Simulated_feature_group_C_117	4	35	49	16	30	1	7	13	10	51	92	91	44	16	2	35	0	1	19	3	6	44	3	3	35	25	0	13	17	8	159	24	8	21	1	13	6	6	177	411	97	15	96	19	28	27	165	564	26	323	66	152	189	161	15	153	15	23	43	113	202	333	206	11	142	28	23	180	100	139	164	1436	1610	3412	98	3086	3179	6720	6699	3221	117	2093	7184	4870	9479	2435	6302	10205	19562	19944	10081	11130	25879	13592	16001	20708	429	10052	835	3702	10050	8130	27060	324	2263	177	7	258	708	755	1028	543	753	10	967	1585	45	1621	168	93	414	55	121	542	1393	646	69	1091	5	85	86	352	66	498	997	1520	314	72	497	703	39
Simulated_feature_group_C_118	1	10	50	26	20	20	30	66	84	1	30	15	62	201	70	125	21	50	98	59	23	4	119	76	23	32	5	20	53	15	17	70	22	30	27	30	28	73	25	108	170	673	48	10	126	203	108	138	249	288	303	606	280	260	484	59	145	227	21	593	495	281	43	53	439	42	367	139	85	305	148	1670	4001	4202	12556	19756	11979	15148	17616	3803	46466	8304	4916	10770	21856	24172	13946	21404	8706	13345	16847	35622	10977	2369	23080	11872	6332	9768	4234	1210	9882	39752	5385	4475	6546	3507	818	1526	262	4624	310	2196	2371	1868	44	1282	500	1413	908	786	1635	1899	1332	1131	237	352	1350	67	1899	716	79	300	522	292	1800	878	1342	27	1063	307	39
Simulated_feature_group_C_168	4	4	11	7	8	10	2	1	21	3	0	34	2	0	3	4	2	21	6	9	10	17	3	21	88	0	1	19	29	0	55	18	14	2	48	25	21	13	52	42	52	19	338	97	14	35	95	59	10	126	123	12	4	19	12	67	1	234	17	66	181	40	21	88	12	9	29	0	29	33	2	1779	653	2517	3667	6889	9069	1399	7967	8736	3373	1136	7655	2831	454	5238	1055	6596	2210	14021	40	1806	1603	4204	3908	138	1415	1095	9507	2696	2783	4204	3424	28250	6495	13762	470	118	195	901	317	38	124	163	142	16	586	134	106	4	82	83	866	2	13	121	503	589	1515	4	966	254	35	14	201	1431	42	398	0	73	518
Simulated_feature_group_C_194	4	2	41	1	1	41	0	7	41	2	14	12	24	1	0	13	48	30	0	5	11	2	7	6	10	7	3	8	2	0	12	5	0	0	33	0	3	1	11	2	3	20	73	2	85	38	21	214	174	3	6	3	67	12	24	97	23	48	55	0	11	51	23	320	16	28	16	7	0	72	7	6390	509	2956	1083	501	3521	2908	4828	1125	468	687	8156	11897	1230	4019	1544	761	1498	4920	1576	55	2725	4435	10998	829	2053	56	12147	496	233	252	457	242	2987	12299	492	7	301	6	911	247	26	255	163	220	20	72	421	96	15	27	160	132	73	445	20	303	362	288	39	66	198	0	916	13	74	154	50	86	1072
Simulated_feature_group_C_195	4	0	1	0	18	8	2	11	3	30	0	0	38	0	11	31	15	1	0	12	0	78	138	30	2	18	24	58	1	3	15	6	20	0	0	13	151	226	6	717	92	0	2	4	269	17	235	94	1	3	384	0	0	100	84	24	0	7	269	8	5	5	0	857	91	24	446	190	1	33	14	13505	3357	36	1023	2161	1340	534	1471	10308	3692	4999	4359	20789	8	25	3529	8798	704	654	17389	2476	415	12	0	58	136	3733	9670	9517	1780	15163	15850	847	14072	525	633	19	1073	1235	0	41	153	5	3	60	942	1452	399	415	2732	649	75	162	584	471	10	951	3097	370	341	16	278	4572	58	0	159	187	1	86	30
Simulated_feature_group_D_09	2	2	0	16	1	1	3	0	3	4	3	5	4	4	2	6	14	4	7	9	3	3	3	6	9	1	12	1	4	8	2	2	3	1	21	4	1423	2441	165	1221	127	4487	2126	181	1617	1876	3088	904	1815	2558	1574	599	532	1596	3248	557	1499	4786	3352	855	1451	820	962	444	2222	512	1258	1558	1765	1271	1081	67	54	75	43	8	105	106	292	166	96	79	121	35	26	91	87	71	265	65	275	69	128	105	216	269	48	35	163	135	147	72	46	79	134	63	26	11	5	3	17	11	11	13	0	11	40	10	24	20	43	9	10	13	11	5	23	19	6	1	2	45	36	16	7	17	5	25	14	25	11
Simulated_feature_group_D_20	3	164	89	96	100	14	32	5	28	158	106	178	55	70	23	37	76	72	60	53	30	29	55	168	71	33	38	41	51	30	16	234	9	127	30	206	4235	8733	13541	7454	7677	7251	25085	533	37894	16220	526	8193	31901	12770	4066	8277	23869	21800	19754	24427	10851	13656	10631	14512	15533	10241	11188	8779	9711	3124	7798	17831	20850	19308	10324	212	1562	319	2523	1872	5451	1849	3876	576	2177	668	614	1833	2373	1065	421	3505	1164	499	407	853	2290	305	1648	861	320	573	2326	712	2292	5586	1084	592	1525	1271	188	396	114	233	1365	20	265	273	28	302	193	59	562	150	382	210	652	0	31	48	31	299	415	595	199	97	588	182	405	392	276	118	45	197	304
Simulated_feature_group_D_22	2	17	4	23	51	31	14	21	0	55	28	3	24	3	59	20	42	5	4	45	3	2	42	34	4	27	31	2	20	8	35	19	2	8	6	20	13403	10899	10040	9062	3791	6003	7845	36675	8568	1399	31694	7444	1276	7007	7382	1020	23434	17308	6936	1863	2820	6065	15362	7957	1512	2140	8477	6303	4402	11691	1873	2621	7941	12006	4951	287	787	314	77	864	1025	1689	378	269	276	2047	1064	1153	4745	515	339	1583	65	1031	83	428	276	1214	2537	1739	13	1314	538	924	575	213	580	477	423	790	124	248	290	100	11	53	156	13	145	44	100	35	129	63	47	244	86	281	52	305	54	20	79	17	42	124	329	48	62	56	34	164	141	111	19
Simulated_feature_group_D_31	2	26	25	8	50	38	30	36	17	40	27	37	41	49	31	30	66	65	15	48	34	52	41	37	25	24	16	40	35	46	34	45	16	73	28	53	5263	13372	11214	11529	8158	11303	3677	11141	1948	14706	6327	11807	12906	17611	11381	8046	14070	21019	10162	13458	8681	8104	9332	11152	13380	14556	8370	7804	14278	11123	8120	13531	13918	13317	23986	1454	674	376	882	784	811	944	542	570	1254	699	298	686	554	890	1382	1014	409	817	1412	1386	1083	1514	438	910	1156	511	771	688	474	705	283	534	591	1516	243	86	88	74	67	184	66	188	69	141	139	117	95	153	153	161	35	40	131	149	169	49	100	109	258	131	70	148	131	116	168	97	128	173	71
Simulated_feature_group_D_51	2	47	35	40	27	22	34	74	60	17	27	24	40	32	26	27	46	50	66	12	43	30	87	25	39	60	42	22	53	21	42	18	62	31	40	28	15965	5785	15499	9343	11529	19237	19731	5901	21576	14401	5345	4977	15031	12663	8965	18375	12835	20300	7545	27306	23316	15625	8603	3568	11531	10398	14529	6988	33665	20428	10101	3945	11197	17231	7574	1241	316	735	1009	1066	430	928	986	439	721	457	453	1400	733	1950	630	804	771	1999	679	1097	819	917	596	553	678	843	1421	743	1218	1222	597	1588	1239	367	109	153	159	245	215	139	78	195	200	64	253	181	37	78	379	109	59	89	170	91	110	118	65	81	148	137	89	346	149	88	250	96	282	25	138
Simulated_feature_group_D_69	2	23	11	27	10	7	32	22	22	15	4	17	18	31	13	35	12	39	10	22	29	31	9	18	16	7	22	14	7	13	7	24	25	3	14	20	1972	2146	6069	2006	7551	8619	13536	4643	5206	9266	9346	5310	5293	10454	6679	6488	3338	7365	5293	5695	8646	5383	5936	6344	1892	4283	5216	6011	5483	6953	14268	3556	3445	3265	7972	688	763	367	426	120	626	753	412	699	564	1040	457	343	499	893	371	442	425	328	352	593	740	498	490	644	718	374	335	1178	431	147	92	722	662	842	55	102	141	64	70	14	49	89	62	55	114	63	69	20	40	29	11	19	51	20	58	37	104	91	84	22	74	71	65	49	77	72	78	61	74
Simulated_feature_group_D_79	2	81	0	17	13	24	38	6	13	1	23	7	2	6	9	8	9	11	8	9	5	48	5	18	53	7	1	2	15	5	4	1	5	31	47	21	10039	2997	1095	4281	1338	272	44	7718	1738	3237	365	56	333	788	2740	1409	3147	5293	6350	1510	8410	50	3260	1829	6719	3953	7067	378	35	2446	8245	21732	34	391	2281	36	1977	640	493	12	1048	387	49	33	37	1268	155	103	90	2138	1612	87	141	9	2	12	185	211	251	690	269	18	139	365	563	119	184	1	122	153	31	45	13	0	55	0	45	54	15	4	5	231	158	9	0	68	16	19	24	3	119	68	134	0	73	36	12	10	5	5	3	2	1	22	16
Simulated_feature_group_D_81	2	17	11	40	112	2	43	0	8	1	6	178	99	8	4	36	8	13	36	10	3	0	59	0	2	86	0	163	23	96	2	132	63	20	42	0	70	25308	1000	1015	370	5119	5214	6886	14388	28	442	5187	26758	12121	17547	17	599	20657	4750	3365	5461	6436	1838	1567	13132	5168	10706	5	6996	1973	13172	360	14646	7663	1239	38	394	99	66	527	3070	135	145	663	198	2643	477	908	432	3407	763	1008	582	414	296	1531	3419	150	597	1008	2466	2	836	572	12	1329	2200	3603	717	150	63	66	356	121	268	15	73	334	27	17	177	156	209	29	248	32	25	212	74	18	0	94	36	277	41	1073	1	40	18	190	3	3	0	743	242
Simulated_feature_group_D_90	2	3	3	8	1	3	5	3	1	2	1	5	5	2	8	1	0	6	3	6	1	2	2	0	5	3	0	0	2	2	5	2	5	1	0	2	701	159	1077	37	180	1145	444	2783	1001	3036	294	1764	637	250	1063	471	775	2244	417	1027	466	1675	557	1060	334	859	188	1122	516	420	1157	404	1394	1500	1138	81	121	6	46	10	133	143	80	149	257	77	120	14	54	86	113	175	26	119	35	127	30	45	9	51	194	94	147	40	157	8	97	47	31	123	31	28	21	2	15	7	9	9	30	8	33	2	14	15	5	22	13	13	12	6	7	4	5	5	2	11	20	20	5	20	17	3	0	3	0
Simulated_feature_group_D_109	2	9	15	5	29	0	9	5	9	15	10	19	12	11	19	17	6	5	8	14	4	13	8	8	15	3	13	12	15	22	21	6	5	25	21	11	6486	1743	2720	4434	3863	2789	3956	4626	3205	4260	4289	10356	4773	5330	5049	4366	7386	2511	1112	6073	3410	4964	2682	6096	5096	2983	1615	7213	4644	3837	4296	4268	10557	4413	2659	415	244	473	437	193	251	138	343	314	445	380	523	325	595	311	326	507	337	384	302	225	329	176	576	177	444	517	565	398	331	228	413	371	225	172	46	66	44	28	58	21	67	30	56	40	46	69	43	20	69	55	23	47	46	77	53	50	30	45	39	26	65	78	30	27	51	38	91	59	56
Simulated_feature_group_D_119	2	5	18	9	31	4	4	1	3	44	0	27	7	1	13	41	12	4	32	3	1	4	10	10	1	1	8	2	11	2	0	11	4	5	14	4	364	3738	1016	3259	200	1129	4042	59	7071	2218	9885	1473	341	12123	1711	12966	11863	7126	9271	9935	443	461	7929	678	23093	14	293	1050	18405	1289	7058	5703	4393	2327	5173	270	96	570	52	155	646	205	755	611	81	261	79	73	149	267	51	211	58	0	404	787	184	194	58	10	1210	48	772	432	417	980	90	249	233	132	29	23	27	35	16	1	9	28	45	18	15	3	44	10	43	58	33	100	104	82	2	36	192	12	73	62	15	29	45	19	3	4	25	37	40
Simulated_feature_group_D_151	3	69	88	33	51	75	81	82	101	15	79	22	51	81	96	9	45	19	114	45	25	80	85	64	12	46	41	8	6	27	28	69	177	110	19	73	19190	7425	20580	25571	33351	45854	29285	27053	14279	18342	11859	8454	9324	45128	9298	17584	27111	34635	20497	12447	9191	35506	32163	18105	7022	5780	46867	19129	10347	21494	29257	24807	24157	26772	42350	1773	1474	804	1502	2873	1212	1572	729	1766	582	219	2356	239	2758	695	1102	3196	1831	1965	545	2102	2267	675	742	820	1035	2586	1134	386	2963	458	576	615	1209	219	256	110	192	165	107	74	54	338	298	183	118	277	287	213	151	45	381	259	189	232	191	112	83	182	570	195	210	116	169	363	179	308	252	141	170
Simulated_feature_group_D_152	2	59	20	55	35	8	3	5	40	8	44	51	130	2	19	22	4	11	17	11	28	7	12	9	83	11	9	65	59	1	16	18	13	18	22	10	20809	17334	7076	7860	1233	5158	3985	3969	2378	8901	6178	1944	14695	4431	22307	2854	2924	21466	16920	14111	5147	22581	1745	2892	3365	11667	15770	5236	795	12549	1415	22657	32046	11332	2305	228	1330	364	1050	839	451	521	870	510	237	455	2342	343	1916	759	450	719	1530	90	1776	870	1523	1175	29	664	182	1705	169	109	95	819	366	304	845	135	101	121	181	104	153	289	320	17	60	49	2	66	333	144	51	226	108	258	247	23	225	24	47	116	44	91	87	13	70	191	160	118	36	222	44
Simulated_feature_group_D_166	2	23	4	18	47	0	18	32	69	7	3	17	71	10	9	20	0	0	0	7	0	4	6	1	21	33	5	15	30	11	16	2	9	19	7	24	2620	5952	14418	4963	808	6534	1226	39	1038	12318	14045	1838	3651	3257	158	4879	8159	8794	1797	22526	12279	19592	18582	12357	23087	341	21717	4251	1366	1486	12392	1580	19052	6368	1721	1	390	23	681	319	95	1326	696	139	165	54	589	99	1169	193	252	894	23	842	28	1125	1362	267	639	397	26	438	306	289	291	1717	383	765	2605	983	11	0	112	44	97	226	27	58	178	47	171	4	3	39	11	111	59	21	16	5	87	40	0	26	4	161	33	100	141	88	5	145	52	24	30
Simulated_feature_group_D_170	2	2	2	3	0	4	4	7	4	2	4	0	9	7	3	3	3	17	10	2	2	8	5	0	1	3	5	8	2	0	17	5	0	0	0	1	1244	384	3161	2090	4268	550	5258	80	534	861	73	4967	336	695	314	140	569	2636	2197	4249	1001	2993	204	1050	264	811	5800	138	1620	1786	1170	763	425	33	923	149	13	74	397	28	19	111	3	34	9	349	55	29	115	157	176	3	44	32	77	348	16	34	139	114	43	132	43	165	8	55	15	122	192	24	26	11	6	10	10	41	7	2	40	6	31	19	6	30	27	10	0	84	15	19	44	8	1	16	9	5	1	17	20	1	1	3	38	8	8
Simulated_feature_group_D_171	2	6	22	0	3	23	9	0	12	6	5	2	2	8	6	8	23	13	17	1	51	6	7	11	22	0	1	1	20	4	3	0	0	0	4	9	1416	1149	49	193	650	1644	8897	2213	1807	4702	5241	1697	2390	9474	495	47	376	11	1202	3155	251	698	528	402	8776	1006	10664	850	1003	5504	2199	841	55	14169	1749	245	277	303	66	420	451	11	295	107	0	280	286	120	44	76	1	125	547	219	96	1	624	13	262	185	324	210	389	78	131	71	95	209	154	113	0	7	10	191	10	7	6	21	54	12	57	7	13	43	106	0	2	5	3	139	33	5	42	22	54	41	36	47	1	12	12	0	5	23	34
Simulated_feature_group_D_178	2	33	51	2	0	21	0	42	11	7	4	0	83	0	25	11	3	7	1	10	0	0	18	0	18	17	10	10	21	2	29	1	9	21	3	45	5487	8866	782	3	545	4519	1855	2028	2381	3091	659	534	7945	510	1103	966	1873	3390	80	13039	963	81	4865	295	310	10823	5024	1964	20	3234	9520	8547	19982	8910	6096	77	1849	847	0	18	308	272	425	234	50	82	287	93	198	361	530	10	457	58	35	127	55	166	451	24	44	56	1579	359	475	370	233	567	29	111	8	2	1	37	4	3	11	63	27	8	80	2	10	60	68	1	0	10	1	7	6	86	41	247	20	15	170	43	8	7	48	39	39	1	6
Simulated_feature_group_D_183	2	0	3	0	0	3	2	4	2	0	9	20	9	2	12	0	29	1	10	1	3	0	0	8	0	18	2	13	18	2	4	0	12	9	11	10	46	756	717	1150	807	11	1941	2748	1499	1011	1222	3015	8	138	1952	4151	162	1719	311	77	1692	724	2055	1997	2359	563	0	194	381	2856	1116	3508	2879	331	3099	49	379	50	18	74	61	132	3	124	26	225	14	29	29	42	31	10	30	5	667	379	82	10	42	110	193	2	60	148	79	112	86	141	159	108	0	37	1	0	4	4	32	0	0	12	24	1	2	14	46	14	13	0	1	63	4	14	13	21	4	7	2	26	40	14	18	0	17	32	32
Simulated_feature_group_D_195	2	0	3	11	1	3	3	1	2	5	5	6	0	0	1	0	2	4	3	5	5	1	5	6	6	3	2	9	2	5	4	0	6	1	0	4	1313	850	1777	882	522	1052	1731	1716	1093	1193	1405	1531	1150	816	1149	1881	475	1022	1016	996	1133	548	584	1739	1240	1124	710	965	1030	1681	606	712	644	1894	276	91	43	100	86	68	289	116	61	59	85	89	110	68	98	139	44	102	40	62	47	66	180	25	150	68	67	59	246	87	35	39	109	70	50	122	11	8	13	14	18	30	16	13	21	13	2	16	12	19	9	17	7	16	19	12	3	20	19	24	13	7	23	3	7	12	12	13	33	3	12
Simulated_feature_group_E_40	3	9	21	22	13	18	1	38	13	14	25	9	29	13	16	13	16	26	18	22	14	17	24	15	25	12	27	17	22	18	9	6	16	8	27	12	5041	3729	6124	4960	4842	4447	3721	6940	5036	4205	6857	11639	7002	3382	6930	11443	4325	5103	6011	5969	4371	6593	4447	10857	8157	4326	8542	9510	3918	7193	2607	3657	7928	6740	2908	4848	3140	5358	4135	5982	8220	5261	5121	4103	3558	8951	1558	4925	10752	6986	3840	6224	4834	7159	3950	3023	4106	6500	8746	5848	4734	3641	7724	7059	7083	4153	9727	7494	10521	3488	6983	2555	6099	7503	5848	5722	4381	4247	3147	4461	6456	8379	5158	3921	6716	3351	8108	8811	9035	5245	4304	3028	3086	3598	3500	5034	2901	3717	4900	5256	5991	5840	3407	6635	2580
Simulated_feature_group_E_81	2	2	1	1	0	2	0	0	3	2	0	3	4	0	2	1	0	1	3	0	7	2	4	0	0	0	2	0	0	1	0	1	0	2	0	1	94	2983	186	168	426	1878	1642	182	902	30	2064	142	1685	141	902	795	702	807	761	115	164	165	1403	66	131	777	29	36	150	2781	771	305	304	490	42	229	14	772	521	470	91	166	2134	763	62	824	141	820	43	586	1041	182	944	607	856	20	353	173	779	1019	1794	1062	581	1228	503	827	510	45	112	155	547	624	795	677	364	12	2108	260	270	396	47	128	45	57	8	206	176	64	15	574	10	0	44	912	534	161	11	73	231	375	39	115	479	781	916
Simulated_feature_group_E_157	2	7	1	0	13	3	5	0	2	0	1	6	11	1	1	8	2	1	4	0	6	5	0	4	4	11	12	5	0	0	5	2	2	1	4	1	1735	73	522	4526	1192	3036	1389	924	230	12944	971	364	5654	1822	1726	2694	73	2360	5197	2939	2163	142	54	420	58	1048	3524	119	623	667	832	3134	599	1241	7436	6729	4455	6	647	1561	204	612	818	598	849	2	211	291	145	339	81	94	2267	1299	3731	204	460	1189	790	147	5691	2377	4	107	531	3104	813	2104	664	292	68	3351	410	4111	35	31	354	103	284	2878	6412	475	2089	5910	854	144	370	204	4033	3902	3802	359	7998	2379	314	14	99	62	5365	3059	2564	77	49	1818	818
